region,stroma,stroma,stroma,stroma,stroma,stroma,stroma,stroma,stroma,stroma,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,all,all,all,all,all,all,all,all,all,all
feature,HE_proportion,CD8_ratio,CD8_proportion,CD8_purity,CD163_ratio,CD163_proportion,CD163_purity,PDL1_ratio,PDL1_proportion,PDL1_purity,HE_proportion,CD8_ratio,CD8_proportion,CD8_purity,CD163_ratio,CD163_proportion,CD163_purity,PDL1_ratio,PDL1_proportion,PDL1_purity,HE_proportion,CD8_ratio,CD8_proportion,CD8_purity,CD163_ratio,CD163_proportion,CD163_purity,PDL1_ratio,PDL1_proportion,PDL1_purity,HE_proportion,CD8_ratio,CD8_proportion,CD8_purity,CD163_ratio,CD163_proportion,CD163_purity,PDL1_ratio,PDL1_proportion,PDL1_purity
9,0.5582957132999999,0.0182284635,0.5372409462,0.21540586420000002,0.0584367183,0.6374520374,0.6905470555,0.0079586216,0.4605477667,0.09404708029999999,0.3814441789,0.015261960500000001,0.3073237077,0.24171305969999998,0.037024206000000004,0.27593967350000004,0.5863751336999999,0.0108546522,0.42916019409999995,0.17191180670000003,0.0602601079,0.0488613128,0.15543534609999998,0.3488157811,0.0735583796,0.0866082891,0.5251255472,0.017658009,0.1102920392,0.12605867169999999,1,0.018942847,1,0.23746562429999998,0.05118027309999999,1,0.6415907541,0.009647781800000001,1,0.1209436216
10,0.393211866,0.0030797014,0.4610158269,0.08451924,0.0329872235,0.551488326,0.9053004386,0.0003709493,0.5234220286,0.0101803213,0.6010797528,0.0018456331,0.422335969,0.0967817705,0.017016855,0.4348859161,0.89233411,0.0002075607,0.4477010046,0.010884119499999999,0.0057083811,0.0536765369,0.116648204,0.482582426,0.056141467199999996,0.0136257579,0.5047435431,0.0014097034,0.0288769668,0.012674030900000001,1,0.0026267540000000002,1,0.0994027884,0.023519931600000002,1,0.8900516841,0.0002786693,1,0.0105455275
11,0.7977772941,0.034418350800000004,0.5430774337,0.4842386202,0.0289636968,0.8017412431000001,0.4074960086,0.0076952052,0.4331101051,0.10826537130000001,0.102167483,0.0738901912,0.1493102124,0.6166567156,0.0189894015,0.0673166557,0.1584776241,0.0269442726,0.19421179379999998,0.22486566030000002,0.10005522289999999,0.15544400619999998,0.3076123539,0.6319968493,0.0377173335,0.1309421013,0.153349341,0.0527955925,0.3726781011,0.21465380969999998,1,0.0505603383,1,0.5404332422,0.0288204952,1,0.3080587313,0.0141743632,1,0.1515080265
12,0.665378826,0.027869927599999997,0.6822993529000001,0.2760760452,0.060261597199999996,0.6360746401,0.5969439042,0.0128186595,0.5608008209,0.1269800506,0.3103005081,0.019615866000000003,0.22395466579999998,0.1876223944,0.0667812089,0.3287268889,0.6387508102,0.0181526303,0.37035575789999997,0.17362679550000001,0.0243206659,0.1047627901,0.0937459812,0.4382518233,0.0912325618,0.0351984709,0.3816511235,0.043051663,0.0688434212,0.1800970532,1,0.027178773700000002,1,0.2578002088,0.0630378705,1,0.5979363278000001,0.0152090801,1,0.14426346339999999
13,0.8553158190000001,0.0181792187,0.8108660889,0.45324502,0.0193930766,0.8106602672,0.4835089764,0.0025367359,0.6984981598000001,0.0632460036,0.1387405955,0.0229797983,0.1662636028,0.4091568443,0.0267263456,0.1812211176,0.47586437,0.006457644100000001,0.2884304879,0.11497878560000001,0.0059435855,0.0737863596,0.0228703083,0.6796399486,0.0279490966,0.0081186152,0.25743677670000004,0.0068313809,0.0130713522,0.0629232748,1,0.0191757597,1,0.4486254375,0.0204613522,1,0.4787024451,0.0031062507,1,0.0726721174
14,0.763373344,0.043315338099999996,0.7703513264,0.37563580539999997,0.0513329946,0.8757151606,0.4451658844,0.0206637261,0.7541574205,0.1791983102,0.13683307460000002,0.0323629739,0.10316910039999999,0.46215042520000005,0.0205898341,0.06296123099999999,0.2940273858,0.017074118500000002,0.1116980931,0.243822189,0.09979358140000001,0.054401095700000006,0.1264795732,0.49448897350000004,0.027497664900000003,0.0613236084,0.2499451881,0.028116019500000002,0.1341444864,0.2555658384,1,0.042922979900000005,1,0.39528683259999997,0.0447477005,1,0.4120910726,0.0209162401,1,0.1926220948
15,0.5420987849000001,0.012903966999999999,0.7880171551,0.1810726734,0.0572008084,0.6642888159,0.8026603992,0.0011592467,0.7773450458,0.0162669274,0.455483397,0.0038125168,0.195622278,0.099985763,0.0339498616,0.3312736554,0.8903574723000001,0.0003682182,0.20746141899999998,0.009656764699999999,0.0024178181,0.0600676613,0.016360566899999998,0.3982731739,0.08567245300000001,0.0044375287,0.5680434207,0.005080139799999999,0.0151935351,0.0336834054,1,0.0088769956,1,0.1574922527,0.0466792274,1,0.828164957,0.0008084263,1,0.0143427902
16,0.45531759829999996,0.025029359900000003,0.4763443592,0.0891243694,0.09441557710000001,0.45385381020000004,0.33619432590000004,0.1613913824,0.3899807188,0.5746813047,0.4877758725,0.018601353600000002,0.3792466122,0.0587085568,0.09407470609999999,0.48445236700000005,0.2969133515,0.20416623,0.5285092359,0.6443780917,0.0569065292,0.0607121204,0.1444090287,0.1401159234,0.1026884707,0.061693822800000006,0.2369920503,0.26989862940000003,0.0815100453,0.6228920263000001,1,0.023924515499999997,1,0.07791090889999999,0.0947200901,1,0.3084588402,0.1884306918,1,0.6136302509
17,0.6828604235,0.0013001578,0.6071382163,0.030066495099999997,0.0412656564,0.6515263570000001,0.9542792793000001,0.0006769317,0.7679680101,0.0156542257,0.3169854088,0.0018123453,0.39286178369999997,0.0364308236,0.047494637400000005,0.3480928775,0.9547125098,0.00044059769999999995,0.23203198989999999,0.0088566666,0.0001541677,0.0,0.0,0.0,0.1068200493,0.00038076550000000004,1.0,0.0,0.0,0.0,1,0.0014623133,1,0.0322703288,0.0432502588,1,0.9544466576,0.0006019129,1,0.0132830136
18,0.7419284447,0.0061483784,0.6432653236,0.0727641707,0.0754000925,0.7958470999999999,0.8923369445,0.0029488627000000002,0.7106466683,0.0348988848,0.23991495899999998,0.0072662898,0.24583152460000002,0.12313658949999999,0.049717627699999996,0.1696928187,0.8425288913,0.0020260799,0.1578886976,0.0343345192,0.018156596299999998,0.0433153594,0.1109031519,0.21764755170000002,0.1334093057,0.0344600814,0.6703444038,0.022291400299999996,0.131464634,0.11200804449999999,1,0.007091408,1,0.0881338349,0.0702917349,1,0.8736036909999999,0.0030786679999999997,1,0.0382624741
