region,stroma,stroma,stroma,stroma,stroma,stroma,stroma,stroma,stroma,stroma,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,all,all,all,all,all,all,all,all,all,all
feature,HE_proportion,CD8_ratio,CD8_proportion,CD8_purity,CD163_ratio,CD163_proportion,CD163_purity,PDL1_ratio,PDL1_proportion,PDL1_purity,HE_proportion,CD8_ratio,CD8_proportion,CD8_purity,CD163_ratio,CD163_proportion,CD163_purity,PDL1_ratio,PDL1_proportion,PDL1_purity,HE_proportion,CD8_ratio,CD8_proportion,CD8_purity,CD163_ratio,CD163_proportion,CD163_purity,PDL1_ratio,PDL1_proportion,PDL1_purity,HE_proportion,CD8_ratio,CD8_proportion,CD8_purity,CD163_ratio,CD163_proportion,CD163_purity,PDL1_ratio,PDL1_proportion,PDL1_purity
0,0.7618541697888309,0.007950389398058009,0.6391503234958961,0.12772143781975653,0.0416975714646174,0.7197485493443511,0.6698632625911195,0.01259992433008123,0.6126233977387759,0.202415299589124,0.2316975695316389,0.012807089446454605,0.31312279488125644,0.14254956420604115,0.051280358769670034,0.2691973130655149,0.5707770548108052,0.02575561456548608,0.3808440625396439,0.28667338098315365,0.006448260679530134,0.07014192963913635,0.047726881622847536,0.43383451624953306,0.07566309326085863,0.011054137590134034,0.4679834391732038,0.01587397453319241,0.00653253972158001,0.09818204457726312,1,0.009476702258751656,1.0,0.13678294178749134,0.04413689853119517,1.0,0.6370543948341947,0.015669177712323182,1.0,0.226162663378314
1,0.8980615080281988,0.013813393652483982,0.9345173662617434,0.1415237343533388,0.08074995177687762,0.9239798201716912,0.8273155034759114,0.003041439489586522,0.8399890889252591,0.031160762170749725,0.09732401058605884,0.004072042710879499,0.0298547354635235,0.060479722778710276,0.0598256713675611,0.07418595820280185,0.8885565000812172,0.003431343063218737,0.10270049099836334,0.05096377714007255,0.004614481385742313,0.10249115792711057,0.03562789827473306,0.5887809187279152,0.031197139781639245,0.0018342216255068692,0.17921819787985865,0.040385206827618016,0.05731042007637752,0.23200088339222616,1,0.013274528202895262,1.0,0.13971556123163442,0.07848485636025243,1.0,0.8260599237090188,0.0032517085883690838,1.0,0.03422451505934677
2,0.8215177221687893,0.037731102857745176,0.6676079623964424,0.5431329095000129,0.026030375555707117,0.7715225063884568,0.3747028986736094,0.005707894916326164,0.668529391473586,0.08216419182637769,0.11838693285550313,0.03989576545549476,0.1017268607732558,0.543209225622955,0.025962258111081257,0.11089129653741507,0.353494611844861,0.007586541756743182,0.12804871406629556,0.10329616253218392,0.060095344975707614,0.1782116661644614,0.23066517683030185,0.6956300930689597,0.054233081722144465,0.11758619707412815,0.21169300808273966,0.02374265392379109,0.20342189446011846,0.09267689884830058,1,0.04642959853765862,1.0,0.5720687743138463,0.02771716269668448,1.0,0.34150894667954096,0.007014107217789172,1.0,0.08642227900661277
3,0.6546542371757629,0.009849659279866394,0.8172843874391862,0.2417564590321787,0.0266421802165488,0.7077740016992353,0.6539230410960338,0.004250233411574272,0.7394513789713819,0.10432049987178747,0.3005831252737053,0.0027791947207838025,0.10588235294117647,0.1072628702002778,0.02044275334844206,0.24935429056924385,0.7889869617814418,0.002688180156828309,0.21473746684719106,0.1037501680182804,0.044762637550531885,0.0135423357800797,0.07683325961963733,0.3303415227808625,0.023601643914212125,0.04287170773152082,0.5757206967368982,0.0038509750606489593,0.045811154181427005,0.09393778048223927,1,0.007889690885330794,1.0,0.2173758381131662,0.024642634689166762,1.0,0.6789509813158691,0.0037628347055672735,1.0,0.10367318057096488
4,0.700221543260901,0.020020133483709783,0.6367836145200431,0.149333333634557,0.08251511809586763,0.8405138450887681,0.6154932818270963,0.03152814201412827,0.5417438843828958,0.23517338453834666,0.2673227072818496,0.015173966116303157,0.18425717288623475,0.16277044156555912,0.02985610014001288,0.1161033650627544,0.32026502273483515,0.048193039673463785,0.3161406494354715,0.5169645356996058,0.03245574945724945,0.12138722280341906,0.17895921259372222,0.30988875886521866,0.09188612927487327,0.04338278984847746,0.23457558300046624,0.17843889733639054,0.14211546618163273,0.4555356581343151,1,0.022014587757284803,1.0,0.1674010735822834,0.06874231004409191,1.0,0.5227232337384666,0.04075114624031142,1.0,0.30987569267925
5,0.9465247944828812,0.0043670276680131724,0.9649238070330988,0.08100807863793072,0.04422492389370138,0.9291856335730164,0.8203694560440914,0.005316593628349762,0.916527321588534,0.09862246531797787,0.0493109380632708,0.002510201503239434,0.028895281713050083,0.03521400475738872,0.06019718103817057,0.06589050193940092,0.8444675922327078,0.008576798866918315,0.07702796854782523,0.12031840300990344,0.0041642674538480175,0.0063582677165354325,0.006180911253851109,0.09333461760739742,0.053267716535433066,0.004923864487582678,0.7819302639183202,0.00849737532808399,0.006444709863640889,0.1247351184742824,1,0.0042837578841346145,1.0,0.07813576233865525,0.0450501874835728,1.0,0.8217156145927718,0.0054906030326523645,1.0,0.10014862306857296
6,0.8945629644865927,0.01816880761471726,0.9144607396325096,0.11787460033964801,0.05103867515824817,0.9087775980572392,0.3311259364797477,0.0849292656220664,0.8057136757867015,0.5509994631806042,0.10288434532318423,0.01384922026474574,0.08016823926057702,0.05959273346915634,0.04299034635041368,0.08803746901426826,0.18498602829853647,0.17555823523955394,0.19155035326007,0.7554212382323072,0.002552690190223043,0.03739650581755845,0.005371021106913337,0.1859178936679481,0.0626837363679469,0.0031849329284926405,0.3116341481105389,0.10106503264398,0.002735970953228513,0.502447958221513,1,0.017773472054732092,1.0,0.1095042026322338,0.05024035435142294,1.0,0.3095360279787704,0.09429475744266493,1.0,0.5809597693889959
7,0.597675827445876,0.00404504241426942,0.7318873660796674,0.055976383389270086,0.0575356525797407,0.7264631353710322,0.7961938139373246,0.010682680546696905,0.4788000871970899,0.14782980267340531,0.3972248114132904,0.001771121535026923,0.21298068050469632,0.035541059835798264,0.030947140095495325,0.2596974794199353,0.6210156311289566,0.017114848108174516,0.5098209812944918,0.3434433090352451,0.005099361140833645,0.03571347674093761,0.055131953415636266,0.18415059080025692,0.12846658562551438,0.013839385209032508,0.6624165385139476,0.02975619700550425,0.011378931508418224,0.15343287068579547,1,0.003303273405240029,1.0,0.05163464659559298,0.047335738166083115,1.0,0.7399218325888531,0.013334959841932626,1.0,0.20844352081555387
8,0.8140836298352174,0.008711698971017643,0.7658093841556397,0.08256925319737195,0.0777350171341458,0.9012576876554584,0.7367704432171812,0.019061068374773258,0.5961653733509339,0.18066030358544685,0.17001336203968467,0.00527078842959585,0.09676258045255384,0.05883249005577875,0.030498223109763894,0.07384495917790196,0.3404208747497929,0.05382074447128412,0.3515468761520188,0.6007466351944284,0.015903008125097873,0.08002897513251862,0.1374280353918065,0.290447134858011,0.1099285848204394,0.024897353166639657,0.3989610318915455,0.08557958787135041,0.052287750497047286,0.31059183325044354,1,0.009260857423648931,1.0,0.08777607532185666,0.07021610553857556,1.0,0.6655209001298936,0.026028522327375084,1.0,0.2467030245482497
